,titulo,provincia,localidad,distrito,tipovivienda,precio,metros,habitaciones,baños,planta,ascensor,exterior,equipada,amueblada,orientacion,anyoconstruccion,garaje,terraza,calefaccion,aireacondicionado,created_at,updated_at
0,"Alquiler de Ático en calle de Embajadores, 296",Madrid,Legazpi Madrid,arganzuela,Ático,3200,107,4.0,3.0,6.0,1.0,1.0,1,1,,,0,1,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
1,Alquiler de Piso en calle de las Nebulosas,Madrid,Delicias Madrid,arganzuela,Piso,1340,75,2.0,2.0,1.0,1.0,1.0,1,1,,2014.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
2,Alquiler de Piso en calle de las Delicias,Madrid,Palos de Moguer Madrid,arganzuela,Piso,975,60,2.0,1.0,0.0,1.0,1.0,1,1,,1935.0,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
3,Alquiler de Piso en Delicias,Madrid,Arganzuela Madrid,arganzuela,Piso,800,60,1.0,1.0,3.0,0.0,0.0,1,0,oeste,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
4,"Alquiler de Piso en Fernando Poo, 23",Madrid,Chopera Madrid,arganzuela,Piso,1400,84,3.0,1.0,2.0,1.0,1.0,1,1,norte,1968.0,0,1,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
5,"Alquiler de Piso en paseo de las Delicias, 93",Madrid,Delicias Madrid,arganzuela,Piso,850,45,1.0,1.0,1.0,1.0,1.0,1,1,oeste,,0,0,central,0,2023-06-03 09:29:50,2023-06-03 09:29:50
6,"Alquiler de Estudio en calle de Palos de la Frontera, 16",Madrid,Palos de Moguer Madrid,arganzuela,Estudio,899,42,,1.0,1.0,1.0,1.0,1,0,,,1,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
7,"Alquiler de Estudio en calle de Ciudad Real, 9",Madrid,Delicias Madrid,arganzuela,Estudio,790,45,,1.0,3.0,1.0,0.0,1,1,,,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
8,Alquiler de Ático en Delicias,Madrid,Arganzuela Madrid,arganzuela,Ático,2200,132,3.0,2.0,6.0,1.0,1.0,1,0,"norte, este",1997.0,1,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
9,Alquiler de Estudio en calle de Segovia,Madrid,Imperial Madrid,arganzuela,Estudio,800,50,,1.0,1.0,1.0,1.0,1,0,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
10,"Alquiler de Piso en calle de Alejandro Saint Aubin, 5",Madrid,Chopera Madrid,arganzuela,Piso,975,55,1.0,1.0,0.0,1.0,0.0,1,1,este,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
11,"Alquiler de Piso en paseo del Doctor Vallejo - Nájera, 48",Madrid,Imperial Madrid,arganzuela,Piso,1550,70,2.0,1.0,8.0,1.0,1.0,1,0,"sur, este",,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
12,"Alquiler de Piso en calle del Bronce, 52",Madrid,Legazpi Madrid,arganzuela,Piso,2300,130,3.0,2.0,2.0,1.0,1.0,1,0,este,,1,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
13,Alquiler de Piso en calle de la Antracita,Madrid,Legazpi Madrid,arganzuela,Piso,1030,62,1.0,1.0,2.0,1.0,1.0,1,0,,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
14,Alquiler de Piso en Palos de Moguer,Madrid,Arganzuela Madrid,arganzuela,Piso,930,61,2.0,1.0,3.0,1.0,0.0,0,0,,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
15,Alquiler de Piso en leganes,Madrid,Delicias Madrid,arganzuela,Piso,1695,91,2.0,2.0,8.0,1.0,1.0,1,0,"sur, este",,1,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
16,"Alquiler de Piso en calle de Cobos de Segovia, 8",Madrid,Imperial Madrid,arganzuela,Piso,980,60,1.0,1.0,1.0,1.0,1.0,1,1,,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
17,Alquiler de Piso en calle del Mezquite,Madrid,Delicias Madrid,arganzuela,Piso,1429,87,2.0,2.0,1.0,1.0,1.0,1,0,,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
18,"Alquiler de Piso en calle Estrella Denébola, 18",Madrid,Delicias Madrid,arganzuela,Piso,1200,63,1.0,1.0,5.0,1.0,1.0,1,1,oeste,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
19,"Alquiler de Piso en paseo de los Melancólicos, 18",Madrid,Imperial Madrid,arganzuela,Piso,983,70,2.0,1.0,3.0,1.0,0.0,1,0,este,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
20,"Alquiler de Piso en Jaime el Conquistador, 38",Madrid,Chopera Madrid,arganzuela,Piso,800,57,1.0,1.0,3.0,1.0,1.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
21,"Alquiler de Piso en calle de José Antonio de Armona, 12",Madrid,Palos de Moguer Madrid,arganzuela,Piso,1400,90,3.0,1.0,3.0,1.0,1.0,1,1,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
22,"Alquiler de Piso en calle Ariel, 4",Madrid,Legazpi Madrid,arganzuela,Piso,1375,96,2.0,2.0,6.0,1.0,1.0,1,0,,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
23,"Alquiler de Piso en calle de Vara de Rey, 4",Madrid,Palos de Moguer Madrid,arganzuela,Piso,1450,126,2.0,2.0,0.0,1.0,1.0,1,0,"norte, este",2022.0,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
24,"Alquiler de Piso en paseo De La Esperanza, 22",Madrid,Acacias Madrid,arganzuela,Piso,950,53,2.0,1.0,2.0,1.0,1.0,1,0,,,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
25,"Alquiler de Dúplex en calle de Vara de Rey, 4",Madrid,Palos de Moguer Madrid,arganzuela,Dúplex,1350,65,2.0,2.0,4.0,1.0,1.0,1,0,este,2021.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
26,Alquiler de Piso en calle del Laurel,Madrid,Acacias Madrid,arganzuela,Piso,1200,65,1.0,1.0,0.0,0.0,1.0,1,1,este,,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
27,"Alquiler de Piso en paseo de la Esperanza, 22",Madrid,Acacias Madrid,arganzuela,Piso,925,63,2.0,1.0,1.0,1.0,1.0,1,0,,,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
28,Alquiler de Piso en calle Fernando Poo,Madrid,Chopera Madrid,arganzuela,Piso,1500,114,4.0,2.0,,1.0,1.0,1,1,,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
29,Alquiler de Piso en Delicias,Madrid,Arganzuela Madrid,arganzuela,Piso,1695,83,2.0,2.0,,1.0,1.0,1,0,,2021.0,1,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
30,Alquiler de Piso en calle Nogales,Madrid,Acacias Madrid,arganzuela,Piso,2500,153,3.0,2.0,,1.0,1.0,1,1,,2005.0,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
31,Alquiler de Piso en calle de Sebastián Elcano,Madrid,Palos de Moguer Madrid,arganzuela,Piso,735,35,1.0,1.0,0.0,0.0,1.0,1,0,,1915.0,0,1,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
32,"Alquiler de Piso en calle José María Roquero, 9",Madrid,Palos de Moguer Madrid,arganzuela,Piso,1150,30,2.0,1.0,3.0,1.0,1.0,0,0,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
33,Alquiler de Piso en calle Santa Maria De La Cabeza,Madrid,Acacias Madrid,arganzuela,Piso,1550,110,3.0,1.0,3.0,1.0,1.0,1,1,"sur, oeste",,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
34,"Alquiler de Piso en calle Párroco Eusebio Cuenca, 24",Madrid,Delicias Madrid,arganzuela,Piso,1300,82,2.0,1.0,3.0,1.0,1.0,1,1,,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
35,Alquiler de Piso en calle de Aldea del Fresno,Madrid,Chopera Madrid,arganzuela,Piso,1100,65,1.0,1.0,,1.0,1.0,1,1,,,0,1,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
36,Alquiler de Piso en calle de Embajadores,Madrid,Delicias Madrid,arganzuela,Piso,1400,120,4.0,2.0,,1.0,1.0,1,0,,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
37,Alquiler de Piso en paseo de las Delicias,Madrid,Palos de Moguer Madrid,arganzuela,Piso,890,56,1.0,1.0,3.0,1.0,0.0,1,0,,1965.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
38,Alquiler de Piso en calle del Ferrocarril,Madrid,Delicias Madrid,arganzuela,Piso,1050,65,3.0,1.0,,0.0,1.0,1,1,,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
39,Alquiler de Piso en Delicias,Madrid,Arganzuela Madrid,arganzuela,Piso,1310,60,1.0,1.0,,1.0,1.0,1,0,,2021.0,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
40,Alquiler de Piso en Delicias,Madrid,Arganzuela Madrid,arganzuela,Piso,1585,86,2.0,2.0,,1.0,1.0,1,0,,2021.0,1,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
41,Alquiler de Piso en Delicias,Madrid,Arganzuela Madrid,arganzuela,Piso,1200,65,1.0,1.0,5.0,1.0,1.0,1,0,,2021.0,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
42,Alquiler de Piso en Delicias,Madrid,Arganzuela Madrid,arganzuela,Piso,1310,60,1.0,1.0,,1.0,1.0,1,0,,2021.0,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
43,Alquiler de Piso en calle del Ferrocarril,Madrid,Delicias Madrid,arganzuela,Piso,1050,65,3.0,1.0,,0.0,1.0,1,1,,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
44,Alquiler de Piso en calle de Linneo,Madrid,Imperial Madrid,arganzuela,Piso,1300,70,3.0,1.0,1.0,1.0,0.0,0,0,,1973.0,0,0,central,0,2023-06-03 09:29:50,2023-06-03 09:29:50
45,Alquiler de Piso en calle de Juan Duque,Madrid,Imperial Madrid,arganzuela,Piso,1050,67,2.0,2.0,5.0,1.0,1.0,1,1,oeste,1999.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
46,Alquiler de Piso en calle de Enrique Trompeta,Madrid,Chopera Madrid,arganzuela,Piso,1050,53,2.0,1.0,1.0,1.0,1.0,1,0,sur,1930.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
47,Alquiler de Piso en calle Arquitectura,Madrid,Acacias Madrid,arganzuela,Piso,950,79,2.0,1.0,3.0,1.0,0.0,1,1,sur,1957.0,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
48,"Alquiler de Piso en calle de Carmen Cobeña, 2",Madrid,Acacias Madrid,arganzuela,Piso,2680,65,2.0,2.0,2.0,1.0,1.0,1,1,,2022.0,1,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
49,Alquiler de Piso en calle de la Antracita,Madrid,Legazpi Madrid,arganzuela,Piso,1200,62,1.0,1.0,1.0,1.0,0.0,1,0,este,2005.0,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
50,Alquiler de Ático en calle de la Ribera de Curtidores,Madrid,Acacias Madrid,arganzuela,Ático,1375,55,,1.0,7.0,1.0,1.0,1,1,"sur, este, oeste",,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
51,"Alquiler de Piso en calle del Áncora, 20",Madrid,Palos de Moguer Madrid,arganzuela,Piso,1475,60,1.0,1.0,4.0,1.0,1.0,1,1,,,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
52,"Alquiler de Piso en calle del Áncora, 20",Madrid,Palos de Moguer Madrid,arganzuela,Piso,1300,28,1.0,1.0,3.0,1.0,1.0,1,1,,,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
53,"Alquiler de Piso en calle Ariel, 4",Madrid,Legazpi Madrid,arganzuela,Piso,1350,107,2.0,2.0,4.0,1.0,1.0,1,0,"norte, sur",2005.0,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
54,"Alquiler de Piso en calle de Sodio, 19",Madrid,Legazpi Madrid,arganzuela,Piso,1000,45,1.0,1.0,4.0,1.0,1.0,1,1,,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
55,"Alquiler de Piso en calle del Áncora, 35",Madrid,Palos de Moguer Madrid,arganzuela,Piso,1700,70,2.0,2.0,0.0,1.0,1.0,1,1,"sur, este",,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
56,Alquiler de Piso en paseo de las Delicias,Madrid,Palos de Moguer Madrid,arganzuela,Piso,1350,90,3.0,2.0,,1.0,1.0,1,1,,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
57,"Alquiler de Piso en calle del Ónice, 5",Madrid,Legazpi Madrid,arganzuela,Piso,1070,53,1.0,1.0,0.0,1.0,1.0,1,0,,,1,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
58,Alquiler de Piso en P.º de los Melancólicos,Madrid,Imperial Madrid,arganzuela,Piso,1800,110,3.0,2.0,8.0,1.0,1.0,1,0,,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
59,Alquiler de Piso en Eros,Madrid,Legazpi Madrid,arganzuela,Piso,1195,93,1.0,1.0,6.0,1.0,1.0,1,0,este,2003.0,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
60,Alquiler de Piso en paseo de las Acacias,Madrid,Acacias Madrid,arganzuela,Piso,1500,90,2.0,2.0,3.0,1.0,1.0,1,0,"sur, oeste",1997.0,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
61,Alquiler de Estudio en calle del Rodio,Madrid,Legazpi Madrid,arganzuela,Estudio,875,51,,1.0,5.0,1.0,,0,0,,2007.0,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
62,Alquiler de Estudio en calle de Gil Imón,Madrid,Imperial Madrid,arganzuela,Estudio,790,43,,1.0,1.0,1.0,0.0,1,0,oeste,1982.0,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
63,Alquiler de Piso en calle de Embajadores,Madrid,Legazpi Madrid,arganzuela,Piso,1650,120,4.0,2.0,7.0,1.0,1.0,1,0,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
64,Alquiler de Piso en calle Jemenuño,Madrid,Imperial Madrid,arganzuela,Piso,1470,93,2.0,2.0,3.0,1.0,1.0,0,0,,1996.0,1,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
65,"Alquiler de Estudio en paseo de las Delicias, 60",Madrid,Delicias Madrid,arganzuela,Estudio,900,37,,1.0,2.0,1.0,1.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
66,Alquiler de Dúplex en calle Embajadores,Madrid,Chopera Madrid,arganzuela,Dúplex,849,87,1.0,1.0,0.0,1.0,1.0,0,0,,1996.0,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
67,Alquiler de Piso en Delicias,Madrid,Arganzuela Madrid,arganzuela,Piso,1400,75,2.0,1.0,3.0,1.0,1.0,1,1,sur,1978.0,0,0,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
68,Alquiler de Piso en calle Andrés de Urdaneta,Madrid,Legazpi Madrid,arganzuela,Piso,1185,69,1.0,1.0,3.0,1.0,1.0,1,0,,,1,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
69,"Alquiler de Piso en paseo de la Esperanza, 39",Madrid,Acacias Madrid,arganzuela,Piso,1200,81,3.0,1.0,1.0,1.0,1.0,1,1,sur,1950.0,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
70,Alquiler de Piso en calle de Rafael de Riego,Madrid,Palos de Moguer Madrid,arganzuela,Piso,1000,50,1.0,1.0,3.0,1.0,1.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
71,"Alquiler de Piso en calle Andrés de Urdaneta, 12",Madrid,Legazpi Madrid,arganzuela,Piso,1200,74,1.0,1.0,4.0,1.0,1.0,1,0,sur,2005.0,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
72,Alquiler de Piso en calle Comandante Benítez,Madrid,Chopera Madrid,arganzuela,Piso,1100,75,3.0,1.0,0.0,1.0,1.0,1,0,"norte, sur",1969.0,0,0,central,0,2023-06-03 09:29:50,2023-06-03 09:29:50
73,Alquiler de Piso en calle de Toledo,Madrid,Imperial Madrid,arganzuela,Piso,1500,73,1.0,1.0,4.0,1.0,1.0,1,1,sur,1993.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
74,Alquiler de Piso en paseo de las Delicias,Madrid,Delicias Madrid,arganzuela,Piso,790,25,1.0,1.0,1.0,0.0,1.0,0,0,,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
75,Alquiler de Estudio en calle Algete,Madrid,Legazpi Madrid,arganzuela,Estudio,1551,60,,1.0,4.0,1.0,,1,1,,,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
76,Alquiler de Piso en calle de la Antracita,Madrid,Legazpi Madrid,arganzuela,Piso,890,51,1.0,1.0,6.0,1.0,,0,0,,2006.0,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
77,Alquiler de Piso en calle de Canarias,Madrid,Palos de Moguer Madrid,arganzuela,Piso,2050,135,3.0,2.0,1.0,1.0,1.0,1,1,,,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
78,"Alquiler de Piso en paseo de la Esperanza, 22",Madrid,Acacias Madrid,arganzuela,Piso,975,60,2.0,1.0,7.0,1.0,1.0,1,0,,,1,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
79,Alquiler de Piso en glorieta Santa María de la Cabez,Madrid,Palos de Moguer Madrid,arganzuela,Piso,2100,156,3.0,3.0,5.0,1.0,1.0,1,0,,1960.0,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
80,Alquiler de Piso en calle de Toledo,Madrid,Imperial Madrid,arganzuela,Piso,1500,90,3.0,2.0,7.0,1.0,1.0,1,0,,,0,0,central,0,2023-06-03 09:29:50,2023-06-03 09:29:50
81,Alquiler de Piso en calle de la Estrella Naos,Madrid,Delicias Madrid,arganzuela,Piso,1500,100,3.0,2.0,4.0,1.0,1.0,1,1,,,1,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
82,"Alquiler de Piso en calle de Murcia, 30",Madrid,Palos de Moguer Madrid,arganzuela,Piso,790,41,2.0,1.0,2.0,1.0,0.0,0,0,,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
83,Alquiler de Piso en Palos de Moguer,Madrid,Arganzuela Madrid,arganzuela,Piso,1600,90,3.0,2.0,2.0,1.0,0.0,1,1,norte,1935.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
84,"Alquiler de Piso en calle Eros, 7",Madrid,Legazpi Madrid,arganzuela,Piso,1400,65,1.0,1.0,7.0,1.0,1.0,1,1,"sur, este",,1,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
85,Alquiler de Piso en Palos de Moguer,Madrid,Arganzuela Madrid,arganzuela,Piso,1600,90,3.0,2.0,2.0,1.0,0.0,1,1,norte,1935.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
86,"Alquiler de Piso en pasaje de Áncora, 5",Madrid,Palos de Moguer Madrid,arganzuela,Piso,1200,60,2.0,1.0,1.0,0.0,1.0,1,1,"norte, sur",,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
87,Alquiler de Piso en calle de Jaime el Conquistador,Madrid,Chopera Madrid,arganzuela,Piso,900,60,1.0,1.0,0.0,1.0,1.0,0,0,"norte, oeste",,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
88,"Alquiler de Piso en calle de Embajadores, 206",Madrid,Legazpi Madrid,arganzuela,Piso,1350,90,3.0,2.0,3.0,1.0,0.0,1,1,,,0,0,central,0,2023-06-03 09:29:50,2023-06-03 09:29:50
89,Alquiler de Piso en calle Cardenal Solís,Madrid,Palos de Moguer Madrid,arganzuela,Piso,1500,90,3.0,1.0,5.0,0.0,1.0,1,0,"este, oeste",,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
90,"Alquiler de Ático en calle de Canarias, 76",Madrid,Palos de Moguer Madrid,arganzuela,Ático,1300,50,1.0,1.0,5.0,1.0,,1,0,,,0,1,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
91,"Alquiler de Ático en paseo de las Delicias, 4",Madrid,Palos de Moguer Madrid,arganzuela,Ático,850,40,2.0,1.0,6.0,0.0,0.0,1,0,,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
92,Alquiler de Piso en calle de Moratines,Madrid,Acacias Madrid,arganzuela,Piso,1290,76,3.0,1.0,,1.0,1.0,0,0,sur,1966.0,0,0,0,1,2023-06-03 09:29:50,2023-06-03 09:29:50
93,Alquiler de Dúplex en calle Martín Soler,Madrid,Palos de Moguer Madrid,arganzuela,Dúplex,800,48,1.0,2.0,0.0,0.0,0.0,1,1,,1930.0,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
94,"Alquiler de Piso en calle Bolívar, 15",Madrid,Delicias Madrid,arganzuela,Piso,1500,100,3.0,2.0,4.0,1.0,1.0,1,0,oeste,,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
95,"Alquiler de Piso en calle Fernando Poo, 11",Madrid,Chopera Madrid,arganzuela,Piso,1050,89,2.0,1.0,2.0,1.0,1.0,0,0,oeste,1962.0,0,1,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
96,"Alquiler de Ático en paseo de las Delicias, 81",Madrid,Delicias Madrid,arganzuela,Ático,1300,72,2.0,1.0,4.0,1.0,1.0,1,1,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
97,Alquiler de Piso en paseo de Yeserías,Madrid,Acacias Madrid,arganzuela,Piso,900,41,2.0,1.0,2.0,1.0,1.0,1,0,,1930.0,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
98,"Alquiler de Piso en calle de San Isidoro de Sevilla, 3",Madrid,Acacias Madrid,arganzuela,Piso,1200,65,2.0,1.0,3.0,1.0,0.0,1,1,,,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
99,Alquiler de Piso en calle de Embajadores,Madrid,Chopera Madrid,arganzuela,Piso,1000,46,1.0,1.0,6.0,1.0,1.0,1,0,este,2011.0,1,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
100,"Alquiler de Piso en calle Granito, 15",Madrid,Delicias Madrid,arganzuela,Piso,1290,70,1.0,1.0,1.0,1.0,1.0,1,1,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
101,Alquiler de Piso en avenida del Planetario,Madrid,Legazpi Madrid,arganzuela,Piso,1500,116,3.0,2.0,1.0,1.0,1.0,0,0,,1995.0,1,1,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
102,Alquiler de Piso en calle de las Delicias,Madrid,Palos de Moguer Madrid,arganzuela,Piso,975,60,2.0,1.0,0.0,1.0,0.0,1,1,"sur, este",,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
103,Alquiler de Piso en Legazpi,Madrid,Arganzuela Madrid,arganzuela,Piso,1445,72,2.0,2.0,0.0,1.0,1.0,1,0,,,1,1,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
104,Alquiler de Piso en calle de Jaime el Conquistador,Madrid,Chopera Madrid,arganzuela,Piso,1100,75,2.0,1.0,6.0,1.0,0.0,1,1,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
105,Alquiler de Piso en ercilla,Madrid,Acacias Madrid,arganzuela,Piso,850,37,1.0,1.0,0.0,1.0,0.0,1,1,,1900.0,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
106,Alquiler de Piso en calle de Toledo,Madrid,Acacias Madrid,arganzuela,Piso,1150,64,2.0,1.0,1.0,1.0,0.0,1,0,este,1965.0,0,1,central,1,2023-06-03 09:29:50,2023-06-03 09:29:50
107,"Alquiler de Piso en calle Embajadores, 156",Madrid,Chopera Madrid,arganzuela,Piso,800,36,1.0,1.0,4.0,0.0,0.0,1,1,"sur, oeste",,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
108,Alquiler de Piso en calle de las Delicias,Madrid,Palos de Moguer Madrid,arganzuela,Piso,975,50,2.0,1.0,0.0,1.0,0.0,1,1,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
109,"Alquiler de Piso en Palo De Rosa, 3",Madrid,Acacias Madrid,arganzuela,Piso,1245,101,3.0,2.0,1.0,1.0,1.0,0,0,,1997.0,1,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
110,Alquiler de Piso en Palos de Moguer,Madrid,Arganzuela Madrid,arganzuela,Piso,1700,117,3.0,1.0,1.0,1.0,1.0,1,1,"norte, oeste",1900.0,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
111,"Alquiler de Piso en calle Granito, 15",Madrid,Delicias Madrid,arganzuela,Piso,1290,70,1.0,1.0,1.0,1.0,1.0,1,1,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
112,Alquiler de Piso en ercilla,Madrid,Acacias Madrid,arganzuela,Piso,850,37,1.0,1.0,0.0,1.0,0.0,1,1,,1900.0,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
113,Alquiler de Piso en calle de Jaime el Conquistador,Madrid,Chopera Madrid,arganzuela,Piso,1100,75,2.0,1.0,6.0,1.0,0.0,1,1,,,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
114,"Alquiler de Piso en calle Embajadores, 156",Madrid,Chopera Madrid,arganzuela,Piso,800,36,1.0,1.0,4.0,0.0,0.0,1,1,"sur, oeste",,0,0,individual,0,2023-06-03 09:29:50,2023-06-03 09:29:50
115,Alquiler de Piso en paseo Imperial,Madrid,Imperial Madrid,arganzuela,Piso,775,42,1.0,1.0,3.0,0.0,0.0,1,1,"este, oeste",,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
116,Alquiler de Piso en paseo Imperial,Madrid,Imperial Madrid,arganzuela,Piso,775,42,1.0,1.0,3.0,0.0,0.0,1,1,"este, oeste",,0,0,individual,1,2023-06-03 09:29:50,2023-06-03 09:29:50
117,"Alquiler de Piso en calle de la Batalla del Salado, 3",Madrid,Palos de Moguer Madrid,arganzuela,Piso,1700,150,3.0,2.0,7.0,1.0,1.0,1,0,sur,1960.0,0,1,central,0,2023-06-03 09:29:50,2023-06-03 09:29:50
118,"Alquiler de Piso en calle de Tarragona, 8",Madrid,Palos de Moguer Madrid,arganzuela,Piso,1400,70,3.0,1.0,6.0,1.0,0.0,1,1,,,0,0,0,0,2023-06-03 09:29:50,2023-06-03 09:29:50
